pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,normal_mse,normal_mae,n_eval_rows,status,error
48,TTM,SMAP_id_6,SMAP,0.07974637705599905,0.5251693531830878,0.07314905652798388,0.5008257245316333,0.1397308276633472,0.9502852485737572,0.3696234512138102,0.09782141594395127,7395,ok,
48,TTM,SMAP_id_7,SMAP,0.8679180520798441,0.9464237836455633,0.8172505876693965,0.9019182686959062,0.8327352135531528,1.0,0.3488074158247108,0.11513381752432397,7208,ok,
48,TTM,SMAP_id_8,SMAP,0.5810570656325037,0.8715615440864721,0.40584475224496197,0.7157519345993864,0.5663676216126238,1.0,1.1308165575803497,0.19621768041683801,6814,ok,
48,TTM,SMAP_id_9,SMAP,0.05552574664303816,0.5795947776565897,0.05478889137497713,0.5698797303828772,0.11020445520793705,0.9984447900466563,0.3444563457842411,0.10060421982749396,7194,ok,
48,TTM,SMD_id_1,SMD,0.325921454666353,0.888909040710165,0.37209772251999124,0.8931797911189201,0.45362066941493956,0.793036750483559,0.798405730157849,0.2610466283749788,21857,ok,
48,TTM,SMD_id_10,SMD,0.1969587892525417,0.5678896055867647,0.20386305737154703,0.5598939861643877,0.3952523295260093,0.8931645569620253,6.852804995512786,0.7180227779912328,22418,ok,
48,TTM,SMD_id_11,SMD,0.0531641073081841,0.4347736577178286,0.05380963902317125,0.42410292614051315,0.10885498901860904,0.09106579777170486,2.1197492418247506,0.3841826028296533,21631,ok,
48,TTM,SMD_id_12,SMD,0.26151720741314965,0.6480357272907675,0.4700345150836457,0.8216780336956611,0.5040046315401482,0.5,3.9040825585943892,0.3094395153416961,27905,ok,
48,TTM,SMD_id_13,SMD,0.25449102975627014,0.7111657803855633,0.16304548752569736,0.6208826712523914,0.2672598483037742,0.21410217654171704,3.709807457694796,0.49574167240436184,21444,ok,
48,TTM,SMD_id_14,SMD,0.30277555681182283,0.8889541432259951,0.21820964701271475,0.8913835933871985,0.3435064815641465,0.7975308641975308,13.88388847856556,0.27228267984216153,27944,ok,
