dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
006_MSL_id_5_Sensor_tr_1150_1st_1250,0.294063,0.535751,0.298912,0.525679,0.362389,0.980301,0.265147,0.049800
007_MSL_id_6_Sensor_tr_980_1st_3550,0.891637,0.965419,0.721135,0.843034,0.769226,1.000000,0.124383,0.025466
008_MSL_id_7_Sensor_tr_656_1st_1630,0.450496,0.917256,0.202293,0.838383,0.403611,0.682513,0.421925,0.074496
009_MSL_id_8_Sensor_tr_714_1st_1390,0.425078,0.940645,0.050886,0.631696,0.204722,0.375000,0.178133,0.043043
010_MSL_id_9_Sensor_tr_554_1st_1172,0.211404,0.930306,0.140137,0.900359,0.255763,0.958333,0.198122,0.049931
130_OPPORTUNITY_id_2_HumanActivity_tr_1045_1st_1145,0.063714,0.199309,0.061672,0.197767,0.177214,0.166607,6697678.610571,74.491919
025_MITDB_id_7_Medical_tr_37500_1st_88864,0.759741,0.936684,0.733536,0.896148,0.768436,1.000000,0.148889,0.239247
024_MITDB_id_6_Medical_tr_50000_1st_58118,0.156592,0.771234,0.555289,0.719370,0.687495,1.000000,0.117545,0.212676
133_OPPORTUNITY_id_5_HumanActivity_tr_1745_1st_6500,0.745201,0.978010,0.672416,0.972781,0.656963,0.995851,12.171576,0.431592
132_OPPORTUNITY_id_4_HumanActivity_tr_895_1st_995,0.050741,0.452215,0.044253,0.412696,0.122098,0.374519,9549184.356074,104.070689
129_OPPORTUNITY_id_1_HumanActivity_tr_1801_1st_1901,0.018571,0.197095,0.017490,0.182489,0.058437,0.166609,6351693.967601,75.328156
134_OPPORTUNITY_id_6_HumanActivity_tr_1477_1st_1577,0.016562,0.200208,0.015007,0.161731,0.043372,0.042089,8339127.987065,98.581738
131_OPPORTUNITY_id_3_HumanActivity_tr_7016_1st_26691,0.023413,0.757617,0.022383,0.756088,0.073545,0.023244,3.819736,0.510269
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.346148,0.767919,0.283358,0.696811,0.369815,0.797224,0.203460,0.225408
144_SMAP_id_1_Sensor_tr_2052_1st_5300,0.847637,0.983499,0.828873,0.979795,0.937303,1.000000,0.384096,0.113645
153_SMAP_id_10_Sensor_tr_1840_1st_4030,0.017084,0.729378,0.005941,0.566598,0.018638,0.082329,0.643226,0.151836
155_SMAP_id_12_Sensor_tr_1907_1st_4800,0.605741,0.861245,0.691960,0.848620,0.765952,1.000000,0.981371,0.166583
135_OPPORTUNITY_id_7_HumanActivity_tr_2085_1st_2185,0.034623,0.312730,0.027084,0.256369,0.072973,0.638232,6179313.229397,72.015363
156_SMAP_id_13_Sensor_tr_1173_1st_2750,0.724907,0.978382,0.262823,0.854762,0.519680,0.790698,3085.325396,7.322560
154_SMAP_id_11_Sensor_tr_2117_1st_4770,0.025240,0.645868,0.015323,0.521751,0.036431,0.341808,0.694555,0.165885
157_SMAP_id_14_Sensor_tr_2126_1st_5000,0.120133,0.701382,0.096875,0.658283,0.176987,0.916074,0.310895,0.079286
158_SMAP_id_15_Sensor_tr_2075_1st_5610,0.973726,0.998049,0.909985,0.983925,0.943995,1.000000,0.400981,0.091080
159_SMAP_id_16_Sensor_tr_1757_1st_2650,0.499113,0.815248,0.493298,0.790290,0.624334,0.957143,0.043333,0.008428
136_OPPORTUNITY_id_8_HumanActivity_tr_1495_1st_1595,0.014722,0.125503,0.013780,0.155008,0.046421,0.045301,6305918.674407,72.291027
160_SMAP_id_17_Sensor_tr_1832_1st_5300,0.878842,0.968294,0.846228,0.946152,0.836857,1.000000,0.344419,0.115270
162_SMAP_id_19_Sensor_tr_1908_1st_4690,0.670173,0.834041,0.453841,0.582090,0.622218,1.000000,0.014743,0.009583
161_SMAP_id_18_Sensor_tr_2075_1st_5550,0.296065,0.820736,0.293495,0.798944,0.324754,0.995745,0.328062,0.085315
163_SMAP_id_20_Sensor_tr_2051_1st_4575,0.123266,0.801053,0.117197,0.774444,0.264073,0.885714,0.754213,0.161546
166_SMAP_id_23_Sensor_tr_1113_1st_1890,0.199159,0.816084,0.235864,0.801926,0.320438,1.000000,211.073569,1.858644
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.011024,0.612501,0.006088,0.427020,0.015527,0.320755,0.603194,0.140579
145_SMAP_id_2_Sensor_tr_2133_1st_5400,0.347208,0.745406,0.342898,0.719472,0.362101,1.000000,0.299135,0.077508
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.087121,0.644348,0.077432,0.610838,0.153475,0.959759,0.313023,0.080814
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.225938,0.753825,0.288114,0.672353,0.408507,0.708772,0.001701,0.007163
080_LTDB_id_2_Medical_tr_500_1st_266,0.182046,0.540951,0.136514,0.450484,0.258761,0.517512,0.221892,0.348894
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.021172,0.514249,0.012776,0.511238,0.025229,0.024950,0.000010,0.001444
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.015439,0.789739,0.008285,0.721664,0.029109,0.049043,0.299157,0.087346
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.011134,0.560041,0.009139,0.510436,0.028476,0.024383,0.828076,0.153935
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.015529,0.396895,0.008875,0.395209,0.017594,0.017518,0.000194,0.003784
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.114193,0.721486,0.100436,0.679836,0.188592,0.921875,0.310559,0.078774
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.023798,0.538934,0.014964,0.433524,0.041767,0.666667,0.663159,0.146556
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.764274,0.943945,0.721081,0.901757,0.768357,1.000000,0.302547,0.098789
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.068694,0.502057,0.063741,0.483306,0.134715,0.949511,0.323888,0.081755
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.244910,0.793469,0.500278,0.766596,0.593789,1.000000,0.117136,0.189587
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.588465,0.902340,0.407699,0.740422,0.539126,1.000000,0.941229,0.161506
081_LTDB_id_3_Medical_tr_500_1st_26,0.598685,0.765157,0.563369,0.716635,0.562194,0.957326,0.230685,0.238980
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.061864,0.645458,0.060775,0.632779,0.114326,0.990741,0.304285,0.084259
067_SMD_id_11_Facility_tr_1980_1st_2080,0.033843,0.267033,0.035465,0.249410,0.091334,0.091085,1.766228,0.434434
057_SMD_id_1_Facility_tr_4529_1st_4629,0.179278,0.852469,0.165235,0.839083,0.308779,0.662359,0.716287,0.265879
068_SMD_id_12_Facility_tr_1099_1st_1199,0.208518,0.624082,0.393531,0.802413,0.446166,0.500000,14.197897,0.372191
071_SMD_id_15_Facility_tr_1109_1st_1209,0.297786,0.686940,0.533603,0.869225,0.554451,0.577367,6.249478,0.367351
066_SMD_id_10_Facility_tr_2634_1st_2734,0.286987,0.620575,0.465656,0.729702,0.546514,0.933333,33.550082,1.275812
073_SMD_id_17_Facility_tr_5926_1st_10620,0.132489,0.937104,0.231137,0.916679,0.343554,0.662983,16.664655,0.602964
070_SMD_id_14_Facility_tr_1070_1st_1170,0.203790,0.868296,0.160069,0.862433,0.233957,0.862483,10.660662,0.292607
076_SMD_id_20_Facility_tr_5925_1st_17580,0.596277,0.985879,0.733794,0.984257,0.753764,1.000000,14.801608,0.381839
074_SMD_id_18_Facility_tr_7174_1st_21230,0.462174,0.906838,0.252098,0.830439,0.387751,0.914286,25.184461,0.818849
069_SMD_id_13_Facility_tr_5925_1st_12760,0.196756,0.652749,0.135542,0.568702,0.247998,0.214711,3.854389,0.494139
