dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
074_SMD_id_18_Facility_tr_7174_1st_21230,0.537021,0.960509,0.315325,0.835666,0.401356,0.984615,1.936629,0.172543
076_SMD_id_20_Facility_tr_5925_1st_17580,0.678722,0.992167,0.784196,0.991248,0.762938,1.000000,0.920426,0.129561
070_SMD_id_14_Facility_tr_1070_1st_1170,0.121238,0.870206,0.080264,0.845400,0.206833,0.689024,8.658459,0.190564
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.058667,0.565669,0.068610,0.538648,0.096369,0.706808,0.042684,0.115403
059_SMD_id_3_Facility_tr_757_1st_857,0.074345,0.814161,0.082787,0.857757,0.183377,0.071685,305.162238,0.481554
075_SMD_id_19_Facility_tr_564_1st_664,0.148036,0.877515,0.089669,0.864077,0.172219,0.034589,323.047135,0.367128
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.175403,0.665509,0.187803,0.663153,0.229072,0.954262,0.051236,0.120193
058_SMD_id_2_Facility_tr_1087_1st_1187,0.515142,0.894735,0.478500,0.930833,0.475329,0.947972,1.068264,0.179528
060_SMD_id_4_Facility_tr_7176_1st_10609,0.896164,0.991290,0.759149,0.950755,0.748365,1.000000,4.911847,0.136942
077_SMD_id_21_Facility_tr_3026_1st_3126,0.245071,0.869696,0.143384,0.754536,0.186838,0.125341,0.485149,0.167038
072_SMD_id_16_Facility_tr_7119_1st_15849,0.717710,0.974793,0.635452,0.968228,0.762375,0.341133,19.686966,0.235232
061_SMD_id_5_Facility_tr_7176_1st_15144,0.134113,0.827279,0.110068,0.811003,0.219375,0.436587,2.290834,0.229609
078_SMD_id_22_Facility_tr_500_1st_326,0.190875,0.822318,0.137569,0.821538,0.270951,0.137151,9578.587226,1.515467
062_SMD_id_6_Facility_tr_7180_1st_15131,0.815952,0.984318,0.770641,0.977297,0.762995,0.894406,296.967219,0.273488
064_SMD_id_8_Facility_tr_2272_1st_2372,0.269671,0.867977,0.231857,0.877335,0.377640,0.220705,1.045219,0.170025
065_SMD_id_9_Facility_tr_737_1st_837,0.230324,0.688069,0.206435,0.661559,0.287344,0.183797,5.445509,0.153608
063_SMD_id_7_Facility_tr_5923_1st_6506,0.482701,0.855559,0.463175,0.763039,0.497251,0.921256,0.431632,0.280160
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.237397,0.815404,0.411530,0.786814,0.499533,0.993190,0.040705,0.094207
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.293323,0.919713,0.224182,0.843174,0.367342,0.758228,0.201038,0.262146
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.053171,0.829286,0.250916,0.795251,0.327991,0.817649,0.028516,0.080193
115_PSM_id_1_Facility_tr_50000_1st_129872,0.112131,0.469430,0.096150,0.456232,0.202154,0.652666,0.123420,0.181812
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.050158,0.699938,0.046291,0.604786,0.089137,0.618849,0.186820,0.208644
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.068912,0.713261,0.059526,0.645464,0.101379,0.792924,0.078006,0.162143
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.243044,0.732691,0.269695,0.725623,0.282568,0.976090,0.289163,0.263704
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.054971,0.589741,0.056727,0.531720,0.073184,0.678621,0.130068,0.168241
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.070061,0.761613,0.150752,0.736304,0.232858,1.000000,0.322062,0.293191
096_SVDB_id_13_Medical_tr_500_1st_444,0.062878,0.609845,0.058124,0.547396,0.095549,0.761108,0.138701,0.174081
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.031551,0.573138,0.023856,0.481439,0.047617,0.479947,0.072327,0.127151
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.025577,0.551436,0.035202,0.485548,0.071502,0.710562,0.036750,0.102115
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.199048,0.666047,0.158976,0.593148,0.308624,0.885070,0.111039,0.167295
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.042795,0.626307,0.031791,0.553303,0.061192,0.566007,0.588711,0.282952
