dataset_id,family,test_length,n_eval_rows,n_anomaly_events,n_eval_anomalies,n_label_pos,n_label_neg,normal_mse,normal_mae,normal_mse_median,normal_mae_median,normal_mse_strict,normal_mae_strict,normal_mse_strict_median,normal_mae_strict_median,n_normal_target,n_normal_strict,sliding_window,auroc_D_w_z,vus_pr_D_w_z,vus_roc_D_w_z,auc_pr_D_w_z,standard_f1_D_w_z,pa_f1_D_w_z,vus_error_D_w_z,status,error
GECCO,GECCO,138521,133097,0,0,1726,136795,0.2284300040672927,0.1983126762966627,0.21071932953709,0.1906448289560503,0.1123974938451196,0.1848778279451179,0.0849055969026297,0.1737277051949765,120361,107655,57,0.879147794843355,0.1912350907701388,0.9158498542102014,0.3793065861014002,0.4615341414799874,0.5400078833267639,,ok,
GHL_id_1,GHL,200001,184427,0,0,1850,198151,0.0156506145928235,0.0296281768588304,0.0034162470399249,0.0238654944918731,0.0155758954201714,0.0295287578118033,0.0034270552710088,0.023752892182739,147864,147332,125,0.3493329752480603,0.0074943275383529,0.3758961575328898,0.0067161405482334,0.021793035314657,0.4134866701515943,,ok,
GHL_id_12,GHL,200001,187445,0,0,1051,198950,0.0150386144757002,0.0252386172694833,0.0036514022521899,0.0164988882704457,0.0150137720462966,0.0252124587069912,0.0036575648058514,0.0164570352190696,158912,158625,125,0.2426276223245301,0.0035399379092553,0.2591586816250059,0.0033138698182698,0.0119725864121801,0.0104550586667064,,ok,
GHL_id_11,GHL,200001,184427,0,0,1546,198455,0.0149871082064831,0.025085536151264,0.0033442987234831,0.0195290432930813,0.0149729256288562,0.0250798354255465,0.0032916032658889,0.019527555031779,148168,147499,125,0.297670047690205,0.0054207470407996,0.3237659794824982,0.0049717108632995,0.016725391273345,0.1287332646755921,,ok,
GHL_id_14,GHL,200001,184427,0,0,1771,198230,0.0139857540903158,0.0244000465940067,0.0033618360314206,0.0165880744962808,0.0138954185932326,0.0242794843878347,0.0033717334809208,0.0163816029716454,147943,147407,125,0.3963327139139601,0.0099724011759167,0.4326902576825085,0.0080264792068741,0.0398396070750377,0.7513788714467543,,ok,
GHL_id_10,GHL,200001,184427,0,0,1855,198146,0.0171581988299825,0.0294390025452492,0.0041393209756727,0.0257867654588566,0.0171629405985527,0.0294514673331043,0.0041537742400366,0.0258451908668076,147859,147332,125,0.3687006964262215,0.0087219836612692,0.38726673322936,0.0239181121758783,0.0395300166671648,0.2450331125827814,,ok,
GHL_id_15,GHL,200001,184427,0,0,1239,198762,0.0153231982932587,0.025857690453539,0.0035871051401591,0.0151635915062386,0.0153181033425104,0.0258354682640254,0.0035647038333919,0.0151901313519446,148475,148093,125,0.2198316863061121,0.0052751986897351,0.2534497802206656,0.0040600575709194,0.0133663203102101,0.1441368078175895,,ok,
GHL_id_13,GHL,200001,184427,0,0,1849,198152,0.0154470252833167,0.0244843269268047,0.0032633063549371,0.0188188969377042,0.0153834886717082,0.0244213626869438,0.0032738081797094,0.0186836875674159,147865,147332,125,0.235180501582595,0.0065442769924425,0.2647100790772528,0.0057493697788323,0.0202187595905705,0.3546961325966851,,ok,
GHL_id_19,GHL,175001,161301,0,0,1129,173872,0.014913660897986,0.0259854353232569,0.0038088109209929,0.0185078731232225,0.0148881905875849,0.025945560483741,0.0037036654466344,0.0185359036581366,129835,129453,125,0.0991737209857522,0.0043837804432315,0.1361251381547866,0.0033838692031515,0.0128479599266999,0.0128201488681591,,ok,
GHL_id_17,GHL,200001,184427,0,0,3583,196418,0.014970343084781,0.0234252449298374,0.0049466573691299,0.0157883146186428,0.0147636636366317,0.0232347052994389,0.0048920990195948,0.0155390558459493,146131,145332,125,0.3025848102792006,0.0139015940360441,0.3367072377221342,0.012212781477841,0.0413230326960702,0.3593399339933993,,ok,
