dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.215150,0.739471,0.223112,0.735808,0.281748,0.935777,0.169629,0.203152
062_SMD_id_6_Facility_tr_7180_1st_15131,0.614074,0.963349,0.555209,0.965961,0.703244,0.882018,500.779415,0.609001
065_SMD_id_9_Facility_tr_737_1st_837,0.156594,0.619611,0.131559,0.602392,0.229139,0.183797,18.765253,0.390337
064_SMD_id_8_Facility_tr_2272_1st_2372,0.256279,0.882795,0.155979,0.804084,0.304797,0.198770,41.076771,0.362422
063_SMD_id_7_Facility_tr_5923_1st_6506,0.529596,0.894926,0.535470,0.861231,0.610724,0.863617,0.460453,0.330893
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.010173,0.789149,0.012768,0.763637,0.049723,0.680050,0.032907,0.113545
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.580425,0.978313,0.342863,0.916301,0.513891,0.960854,0.074258,0.171668
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.057200,0.752774,0.060910,0.674518,0.102653,0.835189,0.019808,0.094836
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.369212,0.916320,0.261372,0.843510,0.366885,0.930267,0.026575,0.088669
115_PSM_id_1_Facility_tr_50000_1st_129872,0.141621,0.550406,0.118813,0.532112,0.210866,0.727945,0.148766,0.204215
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.051827,0.726634,0.059034,0.631098,0.072322,0.782885,0.034648,0.116711
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.041416,0.693547,0.027237,0.609708,0.066571,0.580358,0.164608,0.230967
102_SVDB_id_19_Medical_tr_50000_1st_107354,0.261788,0.899153,0.276812,0.895495,0.395073,0.989252,0.102424,0.177458
081_LTDB_id_3_Medical_tr_500_1st_26,0.580073,0.750142,0.482567,0.677625,0.531738,0.896388,0.747366,0.528978
106_SVDB_id_23_Medical_tr_37500_1st_121963,0.082681,0.946143,0.091124,0.938651,0.198863,0.992658,0.093957,0.184812
104_SVDB_id_21_Medical_tr_50000_1st_106634,0.106962,0.854930,0.079477,0.796024,0.147867,0.921596,0.060576,0.146846
096_SVDB_id_13_Medical_tr_500_1st_444,0.070622,0.731781,0.049691,0.639759,0.103916,0.656581,0.623381,0.435596
095_SVDB_id_12_Medical_tr_6264_1st_6364,0.057989,0.692443,0.040357,0.601636,0.082505,0.556297,0.347403,0.331780
103_SVDB_id_20_Medical_tr_12167_1st_12267,0.061427,0.756012,0.042798,0.674307,0.100645,0.521528,0.272971,0.232114
101_SVDB_id_18_Medical_tr_1851_1st_1951,0.198959,0.767872,0.144666,0.687779,0.237105,0.767524,0.927680,0.564616
108_SVDB_id_25_Medical_tr_1238_1st_1338,0.164003,0.845672,0.139203,0.808240,0.214726,0.720658,0.492517,0.358060
105_SVDB_id_22_Medical_tr_500_1st_417,0.184908,0.752489,0.120342,0.649341,0.230605,0.783943,0.592871,0.505138
085_SVDB_id_2_Medical_tr_50000_1st_54982,0.083978,0.769567,0.060882,0.685358,0.129617,0.688086,0.112125,0.172673
098_SVDB_id_15_Medical_tr_500_1st_303,0.170968,0.716888,0.111662,0.614722,0.178940,0.611465,1.213258,0.740729
114_SVDB_id_31_Medical_tr_25000_1st_63090,0.017251,0.796983,0.014980,0.757678,0.036141,0.873462,0.045542,0.128258
107_SVDB_id_24_Medical_tr_32805_1st_32905,0.191364,0.861414,0.132155,0.761306,0.192743,0.865705,0.056294,0.149883
019_MITDB_id_1_Medical_tr_37500_1st_103211,0.410075,0.808277,0.415216,0.806906,0.422863,1.000000,0.202498,0.176051
112_SVDB_id_29_Medical_tr_8226_1st_8326,0.017648,0.632728,0.012889,0.545944,0.026688,0.677620,0.291004,0.329096
090_SVDB_id_7_Medical_tr_12157_1st_12257,0.322858,0.834656,0.234991,0.773386,0.377822,0.959272,0.060120,0.121292
171_SWaT_id_1_Sensor_tr_3749_1st_9522,0.281072,0.689313,0.215057,0.622010,0.305358,0.233908,304.461957,0.317156
110_SVDB_id_27_Medical_tr_30824_1st_30924,0.110357,0.837702,0.081557,0.768717,0.191357,0.750530,0.048217,0.125828
113_SVDB_id_30_Medical_tr_4552_1st_4652,0.200847,0.767506,0.198103,0.772872,0.286798,0.763707,0.416425,0.338687
030_MITDB_id_12_Medical_tr_50000_1st_84572,0.071883,0.690889,0.050661,0.599556,0.106782,0.549778,0.056737,0.155877
089_SVDB_id_6_Medical_tr_50000_1st_83083,0.044006,0.839476,0.038904,0.818698,0.076667,0.854470,0.151381,0.205348
093_SVDB_id_10_Medical_tr_500_1st_37,0.140841,0.679552,0.096702,0.575886,0.169023,0.750804,0.418647,0.403807
099_SVDB_id_16_Medical_tr_1115_1st_1215,0.227660,0.774932,0.153688,0.719319,0.251213,0.464919,1.661995,0.776825
086_SVDB_id_3_Medical_tr_533_1st_633,0.158272,0.744364,0.097961,0.636949,0.189249,0.546307,0.473715,0.400966
116_TAO_id_1_Environment_tr_500_1st_3,0.806127,0.944629,0.055862,0.493649,0.094754,0.094399,0.217411,0.357419
092_SVDB_id_9_Medical_tr_2674_1st_2774,0.608058,0.942214,0.558107,0.924039,0.642011,0.857983,0.601794,0.462942
127_TAO_id_12_Environment_tr_500_1st_24,0.826228,0.950536,0.059021,0.496565,0.092530,0.092522,0.180724,0.320451
118_TAO_id_3_Environment_tr_500_1st_7,0.328727,0.751414,0.051479,0.511135,0.095041,0.095976,0.236714,0.360466
091_SVDB_id_8_Medical_tr_500_1st_126,0.304049,0.773941,0.288144,0.730308,0.319928,0.880810,0.327497,0.339554
087_SVDB_id_4_Medical_tr_5421_1st_5521,0.197671,0.801844,0.115326,0.690162,0.193986,0.878842,0.084669,0.163674
109_SVDB_id_26_Medical_tr_1038_1st_1138,0.230606,0.674139,0.165197,0.578220,0.264143,0.544464,0.958640,0.664604
111_SVDB_id_28_Medical_tr_1791_1st_1891,0.256009,0.796965,0.159872,0.681315,0.291069,0.736943,0.910868,0.571173
123_TAO_id_8_Environment_tr_500_1st_62,0.836132,0.948937,0.050370,0.488818,0.095159,0.094635,0.414168,0.488713
126_TAO_id_11_Environment_tr_500_1st_7,0.961159,0.985381,0.103511,0.518688,0.177196,0.179277,0.270159,0.399231
124_TAO_id_9_Environment_tr_500_1st_1,0.800679,0.937001,0.052960,0.504075,0.093444,0.093686,0.141179,0.283765
119_TAO_id_4_Environment_tr_500_1st_1,0.909579,0.967736,0.089869,0.471707,0.172838,0.172815,0.190678,0.334527
125_TAO_id_10_Environment_tr_500_1st_9,0.962891,0.984916,0.100171,0.504643,0.173197,0.175483,0.261969,0.390237
097_SVDB_id_14_Medical_tr_1031_1st_1131,0.227060,0.716194,0.151779,0.607491,0.316998,0.597029,1.442595,0.750610
117_TAO_id_2_Environment_tr_500_1st_1,0.662774,0.845503,0.138691,0.489626,0.245205,0.245102,0.222400,0.365118
128_TAO_id_13_Environment_tr_500_1st_7,0.832812,0.920325,0.142327,0.508646,0.249439,0.251807,0.246291,0.382981
088_SVDB_id_5_Medical_tr_500_1st_168,0.136875,0.616120,0.105575,0.532707,0.188300,0.731468,1.070150,0.682863
122_TAO_id_7_Environment_tr_500_1st_19,0.724540,0.893486,0.097354,0.505807,0.175626,0.175443,0.273593,0.400648
120_TAO_id_5_Environment_tr_500_1st_3,0.962184,0.985830,0.105565,0.514963,0.178645,0.179356,0.231773,0.370468
121_TAO_id_6_Environment_tr_500_1st_7,0.827860,0.919563,0.144862,0.508279,0.250161,0.251185,0.270399,0.400003
172_SWaT_id_2_Sensor_tr_23700_1st_23800,0.113557,0.373888,0.114070,0.360888,0.222726,0.856588,2.082840,0.089201
