dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
077_SMD_id_21_Facility_tr_3026_1st_3126,0.247608,0.890065,0.114993,0.829013,0.221444,0.117647,39.021510,0.418660
058_SMD_id_2_Facility_tr_1087_1st_1187,0.382460,0.872957,0.317733,0.916828,0.419847,0.694970,2.836248,0.359010
060_SMD_id_4_Facility_tr_7176_1st_10609,0.637671,0.984864,0.611067,0.955585,0.637597,0.834899,9.568573,0.205933
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.149065,0.725631,0.147464,0.721945,0.286494,0.767600,0.132359,0.222159
072_SMD_id_16_Facility_tr_7119_1st_15849,0.598333,0.909301,0.608083,0.956519,0.719355,0.341133,624.903905,0.595756
078_SMD_id_22_Facility_tr_500_1st_326,0.083221,0.545789,0.054050,0.615180,0.165675,0.084644,10476.551562,2.992264
061_SMD_id_5_Facility_tr_7176_1st_15144,0.122670,0.801477,0.098831,0.795263,0.228749,0.471448,3.900596,0.335968
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.035179,0.847674,0.181180,0.810125,0.256326,0.699165,0.068087,0.166772
065_SMD_id_9_Facility_tr_737_1st_837,0.135672,0.530292,0.111818,0.549587,0.233176,0.183797,12.782208,0.481531
062_SMD_id_6_Facility_tr_7180_1st_15131,0.608784,0.959283,0.560820,0.965199,0.711885,0.871454,443.386915,0.561699
064_SMD_id_8_Facility_tr_2272_1st_2372,0.286083,0.881961,0.210316,0.828895,0.368903,0.220705,43.762245,0.382373
063_SMD_id_7_Facility_tr_5923_1st_6506,0.493383,0.903169,0.603991,0.880068,0.580761,0.877277,0.450819,0.319397
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.501506,0.972165,0.313332,0.906547,0.468630,0.804598,0.175665,0.263506
137_CreditCard_id_1_Finance_tr_500_1st_541,0.034784,0.678343,0.003412,0.607527,0.016730,0.017477,1.495110,0.814011
031_MITDB_id_13_Medical_tr_50000_1st_79433,0.042945,0.678729,0.053593,0.570238,0.066661,0.471712,0.104997,0.154842
115_PSM_id_1_Facility_tr_50000_1st_129872,0.135792,0.545335,0.113511,0.513859,0.208639,0.775153,0.150137,0.207229
021_MITDB_id_3_Medical_tr_50000_1st_57595,0.049706,0.729770,0.056772,0.662963,0.088367,0.812384,0.054341,0.148571
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.217914,0.878045,0.165472,0.810481,0.238558,0.793349,0.079517,0.159178
