dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
164_SMAP_id_21_Sensor_tr_1976_1st_4200,0.007402,0.472266,0.004744,0.362179,0.014145,0.086367,0.529835,0.151362
165_SMAP_id_22_Sensor_tr_2129_1st_5000,0.554695,0.867738,0.640815,0.849865,0.723613,0.968528,0.278437,0.113602
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.177165,0.965469,0.041358,0.899861,0.160276,0.338843,0.253193,0.087207
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.073298,0.710871,0.045141,0.624972,0.161884,0.415638,0.010160,0.008976
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.015994,0.523176,0.008972,0.377001,0.025833,0.022116,0.000001,0.000448
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.050498,0.658320,0.041363,0.614086,0.103447,0.712409,0.288190,0.099425
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.051621,0.699452,0.013313,0.530504,0.055747,0.433673,0.712328,0.184211
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.012386,0.431850,0.009945,0.356417,0.027714,0.027626,0.561331,0.171069
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.028433,0.753211,0.022035,0.722965,0.097165,0.017501,0.000426,0.000818
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.533254,0.967068,0.472716,0.948689,0.614488,1.000000,0.291972,0.116793
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.442726,0.730768,0.565465,0.705870,0.656746,0.954260,0.301079,0.098910
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.050698,0.692018,0.021008,0.493178,0.099842,0.733032,2.559082,0.223498
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.960468,0.992999,0.958874,0.991140,0.969497,1.000000,0.275291,0.101272
066_SMD_id_10_Facility_tr_2634_1st_2734,0.354133,0.806002,0.674494,0.830348,0.743585,0.891662,1.422701,0.386953
068_SMD_id_12_Facility_tr_1099_1st_1199,0.138174,0.651506,0.198924,0.825525,0.335339,0.493888,144.111329,0.476700
067_SMD_id_11_Facility_tr_1980_1st_2080,0.039129,0.404946,0.036624,0.391130,0.093353,0.091066,2.060789,0.362198
080_LTDB_id_2_Medical_tr_500_1st_266,0.169237,0.477562,0.125304,0.418826,0.258713,0.389283,0.906082,0.703146
057_SMD_id_1_Facility_tr_4529_1st_4629,0.097191,0.789196,0.102183,0.814383,0.238367,0.346010,0.695454,0.266419
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.078437,0.604639,0.084453,0.560084,0.131794,0.747858,0.161337,0.192550
071_SMD_id_15_Facility_tr_1109_1st_1209,0.173611,0.672920,0.247344,0.856663,0.401571,0.533049,80.275684,0.477605
073_SMD_id_17_Facility_tr_5926_1st_10620,0.032363,0.859476,0.028078,0.861314,0.078814,0.245161,17.384671,0.463692
082_LTDB_id_4_Medical_tr_4456_1st_4556,0.569112,0.882719,0.421645,0.790349,0.476648,0.911636,0.189944,0.225088
070_SMD_id_14_Facility_tr_1070_1st_1170,0.130680,0.796229,0.089115,0.777870,0.195378,0.378565,12.524402,0.412189
074_SMD_id_18_Facility_tr_7174_1st_21230,0.455727,0.947855,0.207866,0.777096,0.300337,0.692308,6.052526,0.234290
069_SMD_id_13_Facility_tr_5925_1st_12760,0.268511,0.819014,0.212498,0.778622,0.432674,0.578802,8.303157,0.400920
076_SMD_id_20_Facility_tr_5925_1st_17580,0.500805,0.986417,0.447018,0.983990,0.633659,0.930636,16.569731,0.238982
059_SMD_id_3_Facility_tr_757_1st_857,0.033866,0.660601,0.026036,0.693598,0.108270,0.024752,8127.833395,2.152145
058_SMD_id_2_Facility_tr_1087_1st_1187,0.407619,0.881037,0.342828,0.919863,0.429327,0.691494,1.710948,0.274943
072_SMD_id_16_Facility_tr_7119_1st_15849,0.623520,0.921292,0.641826,0.961720,0.713825,0.341133,490.009049,0.485357
060_SMD_id_4_Facility_tr_7176_1st_10609,0.639969,0.985349,0.595325,0.952308,0.638809,0.834899,33.463075,0.323331
077_SMD_id_21_Facility_tr_3026_1st_3126,0.276108,0.903720,0.145007,0.877967,0.281269,0.113861,18.609462,0.335921
075_SMD_id_19_Facility_tr_564_1st_664,0.080623,0.704563,0.038007,0.753533,0.084754,0.609298,385.548600,0.838076
078_SMD_id_22_Facility_tr_500_1st_326,0.080863,0.514350,0.054382,0.623518,0.162458,0.084644,9824.071697,2.606902
061_SMD_id_5_Facility_tr_7176_1st_15144,0.110056,0.773726,0.090694,0.772773,0.214121,0.362007,4.657013,0.328805
062_SMD_id_6_Facility_tr_7180_1st_15131,0.639220,0.959121,0.618630,0.964353,0.710723,0.873563,419.070087,0.514963
064_SMD_id_8_Facility_tr_2272_1st_2372,0.293057,0.888326,0.194367,0.829402,0.340813,0.212486,28.561508,0.340050
063_SMD_id_7_Facility_tr_5923_1st_6506,0.511058,0.906231,0.527943,0.870141,0.649718,0.817916,0.436151,0.308621
065_SMD_id_9_Facility_tr_737_1st_837,0.169354,0.611133,0.139567,0.620586,0.307689,0.705681,16.557911,0.474843
029_MITDB_id_11_Medical_tr_50000_1st_518037,0.235008,0.904599,0.321505,0.880869,0.508649,0.995449,0.051910,0.101908
026_MITDB_id_8_Medical_tr_30495_1st_30595,0.326999,0.756604,0.336800,0.752990,0.347662,0.985694,0.141678,0.222824
094_SVDB_id_11_Medical_tr_20100_1st_23611,0.600414,0.978631,0.460348,0.929002,0.494137,0.933409,0.108462,0.207357
081_LTDB_id_3_Medical_tr_500_1st_26,0.619321,0.764468,0.516597,0.694348,0.535683,0.919057,0.609241,0.463841
115_PSM_id_1_Facility_tr_50000_1st_129872,0.115606,0.498809,0.097170,0.465584,0.201835,0.508849,0.132788,0.192347
020_MITDB_id_2_Medical_tr_50000_1st_52315,0.049707,0.810542,0.097330,0.791427,0.261878,0.830623,0.023787,0.101951
100_SVDB_id_17_Medical_tr_17803_1st_17903,0.363787,0.911130,0.245335,0.838347,0.362428,0.914272,0.049941,0.118035
084_SVDB_id_1_Medical_tr_12973_1st_13073,0.043181,0.707445,0.031362,0.613652,0.058927,0.534577,0.171860,0.246610
