dataset,VUS-PR,VUS-ROC,AUC-PR,AUC-ROC,Standard-F1,PA-F1,MSE,MAE
167_SMAP_id_24_Sensor_tr_2094_1st_5600,0.301888,0.971580,0.070844,0.872811,0.213589,0.694915,0.333966,0.101871
169_SMAP_id_26_Sensor_tr_1811_1st_4510,0.100576,0.737219,0.031173,0.602060,0.168475,0.458924,0.000001,0.000529
168_SMAP_id_25_Sensor_tr_1998_1st_2098,0.057265,0.324333,0.046180,0.439591,0.174393,0.643312,0.010295,0.008569
146_SMAP_id_3_Sensor_tr_2128_1st_5000,0.664193,0.914148,0.722353,0.870386,0.850083,0.905380,0.341637,0.116621
170_SMAP_id_27_Sensor_tr_2160_1st_4690,0.010675,0.499541,0.008021,0.430504,0.026997,0.050746,0.765867,0.170951
147_SMAP_id_4_Sensor_tr_2160_1st_6449,0.010153,0.301647,0.008567,0.249357,0.027967,0.027626,0.609089,0.190018
148_SMAP_id_5_Sensor_tr_2011_1st_5060,0.192045,0.936923,0.085224,0.838812,0.297750,0.449367,0.000549,0.001050
149_SMAP_id_6_Sensor_tr_2128_1st_5000,0.359639,0.649432,0.530706,0.637752,0.659766,0.954260,0.392465,0.117601
150_SMAP_id_7_Sensor_tr_2077_1st_5394,0.430936,0.965538,0.349128,0.945137,0.614969,0.942953,0.312500,0.120844
151_SMAP_id_8_Sensor_tr_1971_1st_4870,0.058094,0.669113,0.016969,0.442218,0.094510,0.405000,1.602193,0.229583
152_SMAP_id_9_Sensor_tr_2073_1st_5600,0.949595,0.987221,0.948958,0.982612,0.969497,1.000000,0.313399,0.116386
022_MITDB_id_4_Medical_tr_50000_1st_54253,0.112524,0.625623,0.120973,0.581817,0.135421,0.812034,0.854727,0.446692
066_SMD_id_10_Facility_tr_2634_1st_2734,0.207890,0.763630,0.623706,0.836671,0.730483,0.891662,2.179585,0.506043
057_SMD_id_1_Facility_tr_4529_1st_4629,0.072389,0.767915,0.062811,0.772529,0.141758,0.283272,1.005907,0.369262
067_SMD_id_11_Facility_tr_1980_1st_2080,0.049362,0.495422,0.045645,0.500565,0.098241,0.091066,2.606098,0.458956
068_SMD_id_12_Facility_tr_1099_1st_1199,0.135742,0.693832,0.175517,0.825200,0.333627,0.435345,1152.976080,0.980921
080_LTDB_id_2_Medical_tr_500_1st_266,0.195560,0.554511,0.145644,0.475339,0.258709,0.443716,1.719512,1.020605
071_SMD_id_15_Facility_tr_1109_1st_1209,0.140022,0.690406,0.196632,0.878481,0.341824,0.538793,333.632184,0.698185
073_SMD_id_17_Facility_tr_5926_1st_10620,0.015802,0.753878,0.014031,0.755441,0.053690,0.160338,28.764564,0.673062
070_SMD_id_14_Facility_tr_1070_1st_1170,0.077685,0.690011,0.045888,0.735793,0.151141,0.394146,15.480472,0.518149
074_SMD_id_18_Facility_tr_7174_1st_21230,0.276041,0.876980,0.053103,0.670917,0.185340,0.452055,48.182256,0.399266
069_SMD_id_13_Facility_tr_5925_1st_12760,0.243152,0.791900,0.190126,0.740906,0.392750,0.213553,24.035775,0.628598
