pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1
96,OPPORTUNITY_id_5,OPPORTUNITY,0.7957777477591715,0.9782557645198716,0.7541443221951211,0.9732121794871796,0.6616491831452116,1.0
192,OPPORTUNITY_id_5,OPPORTUNITY,0.9032804557978694,0.993701258039952,0.7920909128193672,0.9883759615384616,0.8884372172700583,1.0
96,OPPORTUNITY_id_6,OPPORTUNITY,0.0167293770911218,0.215769927813384,0.0151853084480367,0.1789015653325895,0.0439053278049195,0.0420890390657418
192,OPPORTUNITY_id_6,OPPORTUNITY,0.0199597464515972,0.1309212712610576,0.0184163616969193,0.1016733196206944,0.0436462196479701,0.0420890390657418
96,OPPORTUNITY_id_7,OPPORTUNITY,0.0291655902553314,0.3031893668359869,0.0258679078150582,0.2583178804830793,0.0745255215823737,0.6097201767304861
192,OPPORTUNITY_id_7,OPPORTUNITY,0.0394146222829928,0.212693611412242,0.031879991586726,0.3362959945182082,0.0849856842841853,0.5271646859083192
96,OPPORTUNITY_id_8,OPPORTUNITY,0.0153932360491945,0.1786550858086033,0.0146981613215778,0.2260886729426055,0.0456133332800131,0.1050390347764372
192,OPPORTUNITY_id_8,OPPORTUNITY,0.0165022413917537,0.1919048267636412,0.0156075457946188,0.2105102338293349,0.045859331061487,0.045301344543906
96,PSM,PSM,0.1207587990853741,0.5007995416657739,0.1012630953971136,0.4820903268227513,0.2019272973408174,0.5435485590419672
192,PSM,PSM,0.1206995554721058,0.5031767082884561,0.1010446105743028,0.4958197039550849,0.2156210472399493,0.4610576628469882
96,SMAP_id_1,SMAP,0.8572025883604316,0.977816168911113,0.8531671510831926,0.9754377490671624,0.8907513193591394,1.0
192,SMAP_id_1,SMAP,0.724072172900354,0.9637079198835016,0.7213083639572039,0.961161002853386,0.8571379074929819,1.0
96,SMAP_id_10,SMAP,0.1796256898369304,0.9692780798929324,0.1081268559422336,0.8822104491536719,0.1858951530934504,1.0
192,SMAP_id_10,SMAP,0.0067491644226797,0.537713386727063,0.0044610646600225,0.4165533786485406,0.0133514525442277,0.0320062451209992
96,SMAP_id_11,SMAP,0.0714317576259347,0.8774988338339269,0.0519509030251356,0.8167106883620364,0.1291145794984517,0.0281755734078472
192,SMAP_id_11,SMAP,0.0469728814658287,0.8490537063176101,0.034555357004207,0.8089580520102801,0.0899286731519284,0.0281755734078472
96,SMAP_id_12,SMAP,0.126280187771238,0.7539698750085246,0.1298698008286455,0.7420444223617917,0.2828232875078801,0.9532710280373832
192,SMAP_id_12,SMAP,0.1097063861325943,0.7667237418642276,0.1020578940060069,0.7563394897354481,0.2626212673126466,0.85
96,SMAP_id_13,SMAP,0.1548391621226753,0.9534815732334384,0.0755202025773311,0.8751341122403291,0.2457117961068579,0.3517241379310344
192,SMAP_id_13,SMAP,0.1128331446468735,0.9368136029987414,0.0589881603225773,0.8690980054236257,0.1999979092700983,0.2622107969151671
96,SMAP_id_14,SMAP,0.5780794150950745,0.9131668081399208,0.8217012760843165,0.9086019873043872,0.8805411240945129,0.9139966273187184
192,SMAP_id_14,SMAP,0.4741208492570101,0.8941618787201719,0.7102319301051954,0.9235435833871616,0.7926981740588421,0.9139966273187184
96,SMAP_id_15,SMAP,0.2968513276922398,0.9861817717751316,0.3162208841155723,0.9637000316499952,0.3592782660109933,1.0
192,SMAP_id_15,SMAP,0.2147620041892031,0.976090380110066,0.151140595285179,0.9491943972148004,0.2685159298089078,0.9496402877697842
96,SMAP_id_16,SMAP,0.0633342997685239,0.580312715194134,0.0545006812897826,0.5576343802360774,0.1778094179983153,0.4492753623188406
192,SMAP_id_16,SMAP,0.0637205242389161,0.6069531011509576,0.0553056505973186,0.5873292169532459,0.1742178876868063,0.4410569105691057
96,SMAP_id_17,SMAP,0.1666706905423293,0.824021091584354,0.153316477764038,0.7995955355845665,0.3401480924128644,0.1151967086654667
192,SMAP_id_17,SMAP,0.1803608835878165,0.8353496823819374,0.1574263912661951,0.8110860608953738,0.3852466974381241,0.1151967086654667
96,SMAP_id_18,SMAP,0.8426674232716042,0.8991151416384532,0.8304325053913248,0.8783367212495624,0.8902771820029315,1.0
192,SMAP_id_18,SMAP,0.7300531627384005,0.9044350335352812,0.6457134294789029,0.8670722133179686,0.7732190521463503,1.0
96,SMAP_id_19,SMAP,0.0830920614724616,0.9002500447500513,0.0393066932853904,0.7334264167278499,0.1369814150739061,0.8985507246376812
