pred_len,backbone,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,status
192,TTM,MSL_id_15,MSL,0.3512023189840793,0.5152241772000525,0.5691843985116282,0.7677890897212544,0.5588185775140843,0.8393782383419689,ok
336,TTM,MSL_id_15,,,,,,,,
12,TTM,MSL_id_16,MSL,0.0901804261581654,0.5162161125259314,0.0803617812119062,0.4695644586936718,0.1668722216818564,0.8765133171912833,ok
24,TTM,MSL_id_16,MSL,0.0826661149524903,0.492694851792386,0.0730885572102526,0.446660534503768,0.1723738906265308,0.86810551558753,ok
48,TTM,MSL_id_16,MSL,0.0891164471234721,0.5095897446038793,0.0780404304011279,0.4634776461958901,0.1750858968508526,0.861904761904762,ok
96,TTM,MSL_id_16,MSL,0.1673226341108632,0.6561920587982157,0.1417707635271271,0.592378766547967,0.2466921324316507,0.989071038251366,ok
192,TTM,MSL_id_16,MSL,0.1829142504941952,0.6448258703895604,0.1379096778321151,0.5486072497545162,0.2550046876522938,0.9757412398921832,ok
336,TTM,MSL_id_16,,,,,,,,
12,TTM,MSL_id_2,MSL,0.2885064462686333,0.7520345152884876,0.2816126094042958,0.7179613684953235,0.2792428804763491,1.0,ok
24,TTM,MSL_id_2,MSL,0.48831149133295,0.8096743976650023,0.4813680461521649,0.7761712263725538,0.5325035877213226,1.0,ok
48,TTM,MSL_id_2,MSL,0.6282110659299912,0.8958347609235698,0.6273524782333811,0.885077639669176,0.6420408910448331,1.0,ok
96,TTM,MSL_id_2,MSL,0.3598331623622771,0.8046145074232255,0.3618973918446702,0.7850923612326856,0.3972092773035036,0.9978118161925602,ok
192,TTM,MSL_id_2,MSL,0.2773253705756206,0.6794876692300871,0.3997150405906576,0.6715075411540645,0.5031807359639318,0.6388059701492538,ok
336,TTM,MSL_id_2,MSL,0.0921029307463068,0.5162259176229387,0.0700599701290465,0.5305870322919486,0.181523138133528,0.2685904550499445,ok
12,TTM,MSL_id_3,MSL,0.0817718733856897,0.3775342460826378,0.0529754465311322,0.23176825143438,0.1032854054623519,0.6335078534031413,ok
24,TTM,MSL_id_3,MSL,0.0852220696433671,0.4393448159163996,0.0647848803767931,0.3271692872661415,0.1265678520762391,0.4735812133072407,ok
48,TTM,MSL_id_3,MSL,0.0819084963270028,0.293520309237506,0.0618609406952965,0.2310524036379385,0.1165131059237593,0.0971107544141252,ok
96,TTM,MSL_id_3,MSL,0.0751311771873694,0.0905878554551167,0.0521776627856834,0.0842355998267648,0.0991793852582196,0.0970328789093825,ok
192,TTM,MSL_id_3,MSL,0.0722642886343881,0.0725979924042058,0.0501866445458316,0.0651797314854915,0.0955757091902256,0.0949019607843137,ok
336,TTM,MSL_id_3,MSL,0.0716992592170822,0.0942042153036987,0.0497942386831275,0.0881333910783889,0.0948638552757023,0.0,ok
12,TTM,MSL_id_4,MSL,0.039562473222645,0.6807318039543417,0.0229238211541432,0.5439284468373956,0.0636228559773115,0.4655737704918032,ok
24,TTM,MSL_id_4,MSL,0.0308579366344983,0.6022150380094586,0.0201115242456664,0.5055165370017779,0.0593493299596572,0.3922651933701657,ok
48,TTM,MSL_id_4,MSL,0.0254252349846074,0.5297386408234601,0.0160386470936642,0.4098167038638876,0.0503535089207588,0.3786666666666666,ok
96,TTM,MSL_id_4,MSL,0.0955263131080632,0.8032964187795888,0.0322726964725738,0.6891867468613532,0.074461789659959,0.6484018264840182,ok
192,TTM,MSL_id_4,MSL,0.1267153900015078,0.8588270595897968,0.0365852545469729,0.712312069972806,0.0900458524611746,0.5126353790613718,ok
336,TTM,MSL_id_4,MSL,0.299944532004031,0.971084842604526,0.1855064809862478,0.9578935865266204,0.4220743745027473,0.5843621399176955,ok
12,TTM,MSL_id_5,MSL,0.0802720727988237,0.5168347477234414,0.0786699853231649,0.5097776164638246,0.1875130285988692,0.6395233366434955,ok
24,TTM,MSL_id_5,MSL,0.0925241073815851,0.5066854306020111,0.092141588589508,0.5002503939684918,0.1728700890947353,0.6666666666666666,ok
48,TTM,MSL_id_5,MSL,0.1672936495619059,0.6463923452556192,0.1578397308900844,0.6407438717288619,0.2753391976164862,0.6356123215627348,ok
96,TTM,MSL_id_5,MSL,0.2940633269448002,0.535751281636806,0.2989119291052057,0.5256787820592338,0.3623891577036896,0.9803012746234068,ok
192,TTM,MSL_id_5,MSL,0.1996668496611934,0.5320117359278658,0.2412953013732462,0.5880511283553684,0.2577096819015319,0.6809815950920245,ok
336,TTM,MSL_id_5,MSL,0.2665030233850837,0.6324007490981876,0.3232697003509676,0.6719596531341615,0.3333285437900562,0.6883720930232559,ok
12,TTM,MSL_id_6,MSL,0.2148420192375871,0.6860618911800501,0.1779462852190068,0.5151056950832511,0.2543330402145044,1.0,ok
24,TTM,MSL_id_6,MSL,0.4030229302231359,0.8033489917711296,0.3418060038681705,0.6254862395310324,0.4512785567660476,1.0,ok
48,TTM,MSL_id_6,MSL,0.809797578563264,0.955324611617508,0.7222167503207245,0.8518776090098538,0.7727223763510445,1.0,ok
96,TTM,MSL_id_6,MSL,0.8916369145850418,0.9654187754339926,0.7211349268593457,0.8430335375758884,0.7692257849117529,1.0,ok
