pred_len,dataset_key,status,phase,train_sec,infer_sec,score_sec,metric_sec,elapsed_sec,error
12,SMD_id_8,ok,done,5.4,1.9,0.2,2.3,9.8,
12,SMD_id_9,ok,done,2.6,2.0,0.2,2.2,7.1,
12,SVDB_id_1,ok,done,12.2,6.6,0.3,13.3,32.4,
12,SVDB_id_10,ok,done,4.0,6.6,0.3,52.2,63.0,
12,SVDB_id_11,ok,done,16.3,3.0,0.1,3.4,22.9,
12,SVDB_id_12,ok,done,7.6,6.6,0.3,22.8,37.4,
12,SVDB_id_13,ok,done,4.1,6.6,0.3,21.1,32.0,
12,SVDB_id_14,ok,done,4.5,6.6,0.3,85.7,97.2,
12,SVDB_id_15,ok,done,4.4,6.7,0.3,32.7,44.2,
12,SVDB_id_16,ok,done,2.9,6.5,0.3,45.7,55.5,
12,SVDB_id_17,ok,done,14.6,4.2,0.2,8.2,27.1,
12,SVDB_id_18,ok,done,5.6,6.5,0.3,24.4,36.9,
12,SVDB_id_19,ok,done,34.6,6.6,0.3,10.6,52.1,
12,SVDB_id_2,ok,done,34.9,6.5,0.3,20.7,62.5,
12,SVDB_id_20,ok,done,11.5,6.5,0.3,13.8,32.2,
12,SVDB_id_21,ok,done,34.8,6.6,0.3,10.2,51.9,
12,SVDB_id_22,ok,done,3.6,4.8,0.4,23.1,32.0,
12,SVDB_id_23,ok,done,26.9,4.7,0.2,5.3,37.1,
12,SVDB_id_24,ok,done,24.4,6.6,0.3,17.8,49.1,
12,SVDB_id_25,ok,done,4.6,6.6,0.3,12.9,24.4,
12,SVDB_id_26,ok,done,2.6,6.6,0.3,56.4,66.0,
12,SVDB_id_27,ok,done,22.9,6.5,0.3,16.4,46.2,
12,SVDB_id_28,ok,done,5.2,6.5,0.3,45.1,57.2,
12,SVDB_id_29,ok,done,7.8,6.6,0.3,12.9,27.6,
12,SVDB_id_3,ok,done,3.2,6.5,0.3,33.4,43.4,
12,SVDB_id_30,ok,done,7.3,6.5,0.3,10.2,24.3,
12,SVDB_id_31,ok,done,13.7,3.5,0.1,3.7,21.0,
12,SVDB_id_4,ok,done,7.4,6.6,0.5,30.0,44.5,
12,SVDB_id_5,ok,done,3.7,6.5,0.3,68.8,79.4,
12,SVDB_id_6,ok,done,34.6,6.5,0.3,9.4,50.8,
12,SVDB_id_7,ok,done,11.2,2.3,0.1,4.4,18.0,
12,SVDB_id_8,ok,done,2.7,6.5,0.3,28.9,38.4,
12,SVDB_id_9,ok,done,5.7,6.5,0.3,15.5,28.0,
12,SWaT_id_1,ok,done,4.7,1.9,0.2,1.8,8.6,
12,SWaT_id_2,ok,done,20.8,18.2,4.7,38.3,82.7,
12,TAO_id_1,ok,done,3.7,1.4,0.0,29.3,34.4,
12,TAO_id_10,ok,done,4.2,1.4,0.0,53.8,59.4,
12,TAO_id_11,ok,done,4.6,1.4,0.0,49.2,55.4,
12,TAO_id_12,ok,done,4.9,1.4,0.0,29.0,35.3,
12,TAO_id_13,ok,done,3.8,1.4,0.0,52.3,57.5,
12,TAO_id_2,ok,done,4.7,1.4,0.0,60.7,66.9,
12,TAO_id_3,ok,done,4.5,1.5,0.0,14.1,20.1,
12,TAO_id_4,ok,done,4.4,1.4,0.0,39.3,45.0,
12,TAO_id_5,ok,done,2.5,1.4,0.0,52.3,56.1,
12,TAO_id_6,ok,done,4.5,1.3,0.0,52.4,58.3,
12,TAO_id_7,ok,done,4.8,1.3,0.0,42.4,48.5,
12,TAO_id_8,ok,done,2.8,1.4,0.0,27.8,32.0,
12,TAO_id_9,ok,done,4.2,1.4,0.0,20.7,26.3,
