pred_len,dataset_key,family,vus_pr,vus_roc,auc_pr,auc_roc,standard_f1,pa_f1,normal_mse,normal_mae,n_eval_rows,status,error
192,LTDB_id_2,LTDB,0.20197050368848887,0.585091521983874,0.14896274874391535,0.49934316047422395,0.25872006983628737,0.47951638149727427,1.5760091703762729,0.9652420604689821,99234,ok,
192,LTDB_id_3,LTDB,0.5918570673855061,0.7703333949113951,0.48201881747710873,0.6973977832635316,0.5515427302378729,0.8814141621764473,0.6245568002326257,0.5040655367344503,99234,ok,
192,LTDB_id_4,LTDB,0.42822413107811064,0.8395708292878516,0.2964041453427624,0.7461916535070492,0.4336435527342271,0.7460980979000222,0.2864408577224693,0.27698961213896656,97897,ok,
192,LTDB_id_5,LTDB,0.006326890934169318,0.5394107263783502,0.0059534924696035135,0.5776819472992075,0.013055145423289772,0.06950409996095275,0.24767658940192902,0.3075777689282714,94583,ok,
192,MITDB_id_1,MITDB,0.47881054721393035,0.8373326961612335,0.48311540440491557,0.8359948378187037,0.4636582544531129,1.0,0.18569451860819827,0.18524129638208123,137984,ok,
192,MITDB_id_10,MITDB,0.03275798920275057,0.7956179291258347,0.13210977886843034,0.712311597863154,0.21489679169168188,0.6666666666666666,0.04041547657784558,0.1313411605803838,137984,ok,
192,MITDB_id_11,MITDB,0.2151714769984781,0.8950510821242678,0.1914254122064101,0.8770909992239269,0.4300153473991832,0.9817671809256662,0.049683337339822234,0.11084772205227754,584234,ok,
192,MITDB_id_12,MITDB,0.0793413988321718,0.7229240636385965,0.06016976429275592,0.649325946444596,0.1296720871449652,0.7111029614009352,0.04929923309202577,0.1582443766804721,604234,ok,
192,MITDB_id_13,MITDB,0.05733523995703347,0.7832629449890791,0.06477879230569339,0.7076370471164922,0.09886007779111246,0.49130814526808103,0.04588404386279842,0.13151082318308246,434234,ok,
192,MITDB_id_2,MITDB,0.022361585407943377,0.815946352770634,0.027270873935627066,0.7923699891461787,0.1128502441817624,0.6561743341404358,0.04924559946199615,0.13518851994190986,634234,ok,
192,MITDB_id_3,MITDB,0.07480235962836643,0.7701511428500606,0.055840132592279546,0.6858167009402609,0.10879660020588391,0.838702559576346,0.02189631867862878,0.09165135929977615,484234,ok,
192,MITDB_id_4,MITDB,0.11917543257486397,0.6200033901664861,0.13824847123437195,0.577566544934307,0.15957042422542042,0.7361260601885736,0.29465614820842945,0.3109343567757209,284234,ok,
