dataset                                             , VUS-PR  , VUS-ROC , AUC-PR  , AUC-ROC , Standard-F1, PA-F1   , MSE                  , MAE
095_SVDB_id_12_Medical_tr_6264_1st_6364             , 0.061228, 0.684748, 0.046182, 0.593128,    0.077765, 0.577578,              0.204017,      0.276075
031_MITDB_id_13_Medical_tr_50000_1st_79433          , 0.051974, 0.760418, 0.061043, 0.673413,    0.087565, 0.328238,              0.069248,      0.145246
021_MITDB_id_3_Medical_tr_50000_1st_57595           , 0.082791, 0.789242, 0.076373, 0.711173,    0.110259, 0.786117,              0.016159,      0.086976
104_SVDB_id_21_Medical_tr_50000_1st_106634          , 0.151798, 0.857588, 0.108956, 0.792565,    0.229929, 0.881194,              0.093031,      0.188287
106_SVDB_id_23_Medical_tr_37500_1st_121963          , 0.094023, 0.957814, 0.106618, 0.950686,    0.170014, 0.998523,              0.153649,      0.234452
103_SVDB_id_20_Medical_tr_12167_1st_12267           , 0.058975, 0.746993, 0.041252, 0.664870,    0.096311, 0.455740,              0.755051,      0.403644
101_SVDB_id_18_Medical_tr_1851_1st_1951             , 0.241245, 0.785760, 0.173269, 0.705159,    0.244254, 0.770097,              1.062294,      0.628921
108_SVDB_id_25_Medical_tr_1238_1st_1338             , 0.224344, 0.885029, 0.212371, 0.847103,    0.273382, 0.692091,              0.530696,      0.384387
098_SVDB_id_15_Medical_tr_500_1st_303               , 0.156272, 0.681921, 0.106141, 0.593156,    0.178915, 0.424567,              1.089665,      0.656576
085_SVDB_id_2_Medical_tr_50000_1st_54982            , 0.087759, 0.782315, 0.063037, 0.703542,    0.135062, 0.687036,              0.153752,      0.237489
099_SVDB_id_16_Medical_tr_1115_1st_1215             , 0.260111, 0.825398, 0.176331, 0.753384,    0.283926, 0.585426,              1.229741,      0.600286
105_SVDB_id_22_Medical_tr_500_1st_417               , 0.339297, 0.857033, 0.219592, 0.762341,    0.351536, 0.785760,              0.590716,      0.428956
107_SVDB_id_24_Medical_tr_32805_1st_32905           , 0.312083, 0.875170, 0.199489, 0.783693,    0.273882, 0.813573,              0.074240,      0.161185
114_SVDB_id_31_Medical_tr_25000_1st_63090           , 0.018531, 0.793440, 0.016117, 0.759612,    0.044238, 0.873462,              0.060729,      0.167685
019_MITDB_id_1_Medical_tr_37500_1st_103211          , 0.514662, 0.849989, 0.518502, 0.848589,    0.438600, 1.000000,              0.042149,      0.115924
112_SVDB_id_29_Medical_tr_8226_1st_8326             , 0.016626, 0.609319, 0.012505, 0.554691,    0.025474, 0.393504,              0.959128,      0.581263
090_SVDB_id_7_Medical_tr_12157_1st_12257            , 0.362408, 0.832723, 0.246533, 0.775928,    0.357014, 0.954179,              0.100674,      0.161642
171_SWaT_id_1_Sensor_tr_3749_1st_9522               , 0.327006, 0.760505, 0.249904, 0.686753,    0.349971, 0.233908,             70.449647,      0.220600
110_SVDB_id_27_Medical_tr_30824_1st_30924           , 0.243136, 0.889257, 0.137115, 0.823343,    0.232133, 0.677890,              0.215007,      0.242477
