dataset_id,n_train_baseline_rows,n_channels_used,sliding_window,VUS_PR_max,VUS_PR_median,VUS_PR_mean,VUS_ROC_max,VUS_ROC_median,VUS_ROC_mean,AUC_PR_max,AUC_PR_median,AUC_PR_mean,AUC_ROC_max,AUC_ROC_median,AUC_ROC_mean,Standard_F1_max,Standard_F1_median,Standard_F1_mean,PA_F1_max,PA_F1_median,PA_F1_mean,err_max,err_median,err_mean,status,error
Exathlon_id_8,7877,12,10,0.5530202115473934,0.7367442767702896,0.5769976599371422,0.9749895944051221,0.9903247242072564,0.9777547349531139,0.5572254962299233,0.7191168736333635,0.5775782541095247,0.9750686691589633,0.9901637535806077,0.9777733705256157,0.7587891265182432,0.8823212727069911,0.8018156131926734,0.9385546004457179,0.9808684079188155,0.9474529969468102,,,,ok,
Exathlon_id_9,7249,31,125,0.7327636032567688,0.9228457114954416,0.7545184578595886,0.9749934811522557,0.9943590447543427,0.9760437003462944,0.7162536507475306,0.8982758008374728,0.735507757551363,0.9733280851495769,0.9929170634807691,0.9743954941283637,0.8717276932297688,0.9586138536908596,0.8769882328539361,1.0,1.0,1.0,,,,ok,
Exathlon_id_5,8489,19,125,0.3915879926786963,0.8676542509417245,0.3916310232936708,0.6624774400366865,0.9852903025383157,0.6625471017261167,0.4911313703506361,0.836945598724471,0.4911414341607933,0.761974149116676,0.9755907958235693,0.7619130866059292,0.5775874247384704,0.8757614349526278,0.5775874247384704,0.7804016773339219,0.9969975547095057,0.7804016773339219,,,,ok,
GECCO,11028,9,57,0.1912350907701388,0.13822469614420402,0.19111281182890455,0.9158498542102014,0.8159945251708173,0.9129904132387634,0.3793065861014002,0.348801452302274,0.3853988398707058,0.879147794843355,0.8099529677435559,0.8793659956790143,0.4615341414799874,0.4025618965743432,0.4842867081520035,0.5400078833267639,0.5111381125961928,0.541501976284585,,,,ok,
CATSv2_id_5,21205,17,296,0.4476502075927068,0.05902209428998837,0.3903827550487631,0.763883406328683,0.5551847201861605,0.7512705965422153,0.45173941436638493,0.05431523366880536,0.4130769286456264,0.728462297214449,0.5283070683994455,0.7185627699342478,0.5014758669311792,0.09964929810357534,0.44086215756726077,0.74757039621231,0.8727353071144498,0.7516913054372337,,,,ok,
GHL_id_1,34713,19,125,0.007494327538352928,0.006277351695234306,0.005709163918305429,0.37589615753288985,0.2912478035575841,0.150138175128839,0.006716140548233499,0.005797268908287341,0.004853227925053836,0.3493329752480603,0.265392204989179,0.11617761611503757,0.021793035314657025,0.020243025556085766,0.01833026177595466,0.41348667015159435,0.05101086641085996,0.07247903972144591,,,,ok,
GHL_id_10,34713,19,125,0.008721983661269243,0.006008081646468533,0.006448311726402108,0.38726673322936,0.26945322793434984,0.18421070463404787,0.0239181121758783,0.005666710285314226,0.005217528905756397,0.3687006964262215,0.2502957564874364,0.15862025885620074,0.039530016667164866,0.019961170944893785,0.018379347756084755,0.24503311258278146,0.018379529860543458,0.1477888730385164,,,,ok,
GHL_id_12,27669,19,125,0.003539937909255309,0.0035607468632649427,0.004207471434236443,0.25915868162500594,0.2721367063624896,0.1209633730417906,0.003313869818269841,0.003325920974129766,0.0028086785052191406,0.24262762232453017,0.2513816590382094,0.09655850446050132,0.011972586412180164,0.011454053099987422,0.010454954663695643,0.010455058666706457,0.057544897065265,0.010455058666706457,,,,ok,
GHL_id_11,34713,19,125,0.005420747040799656,0.006152884395576462,0.006039754596550737,0.3237659794824982,0.40145845535438696,0.28274424278044763,0.004971710863299558,0.0058446020868795035,0.004791037816202525,0.297670047690205,0.3790759913996685,0.25128932778025903,0.016725391273345096,0.018113744253685945,0.015341182540457098,0.12873326467559218,0.5679236710586097,0.2517116391461941,,,,ok,
CreditCard,213,29,30,0.0382200298062855,0.049728434619386135,0.04360230314820844,0.7261834381797456,0.7319760498057817,0.6946538707202117,0.005078518431343276,0.0062253276789283,0.005598751577742856,0.6205857210076594,0.6131282519145647,0.628542593244725,0.024535093228373644,0.03293630145513185,0.025440610771670612,0.02886002886002886,0.0367504835589942,0.029197080291970802,,,,ok,
GHL_id_14,34713,19,125,0.009972401175916768,0.007155701104386844,0.006863334196946577,0.43269025768250857,0.3971114120462485,0.2592735119148969,0.008026479206874172,0.0065058001274651295,0.005177572940315788,0.3963327139139601,0.3638324610407983,0.21533226593466234,0.039839607075037795,0.019409728656194804,0.017554380417597992,0.7513788714467543,0.45406579764121663,0.21018604985274048,,,,ok,
GHL_id_13,34713,19,125,0.006544276992442564,0.006057040312728328,0.006049156302598903,0.26471007907725286,0.25344879701525336,0.13719527707884194,0.005749369778832324,0.005504266529544509,0.004798438321357349,0.23518050158259507,0.22723091708107634,0.10366771390580276,0.020218759590570526,0.020168681887142527,0.01832044428811351,0.3546961325966851,0.03096960926193922,0.1182211582727189,,,,ok,
GHL_id_15,34713,19,125,0.005275198689735183,0.004459431396872033,0.006327924575198861,0.2534497802206656,0.23431205020822424,0.44883302714708206,0.004060057570919468,0.003875690321929656,0.005057809461498447,0.21983168630611216,0.20585139527801383,0.42471909594969126,0.013366320310210114,0.012675604062953622,0.017581276521722353,0.14413680781758959,0.5178683385579937,0.13049660329664542,,,,ok,
CATSv2_id_3,19527,17,125,0.4114346755960945,0.09201248253303851,0.330627095994682,0.7915646688751968,0.5807348858162805,0.7661120073216882,0.43786698451619965,0.08905891564882823,0.3595082198978964,0.7819419271313364,0.5698967910906297,0.755692855798771,0.46343637212876554,0.15056274660552718,0.3677681847993183,0.6619757429867605,0.7986086462696103,0.8219621816414949,,,,ok,
GHL_id_19,30337,19,125,0.004383780443231581,0.0038675708234840642,0.00606908820607909,0.1361251381547866,0.14603366205321025,0.40591292797428163,0.003383869203151529,0.003410175082571185,0.004970905617946495,0.09917372098575229,0.11159929668999757,0.3814381529293349,0.01284795992669998,0.012828178897802424,0.01844436516986953,0.012820148868159133,0.0680838233077039,0.03598406374501992,,,,ok,
GHL_id_16,34713,19,125,0.011145228763646733,0.009337361315409519,0.009175603494782046,0.3279260387852666,0.29259735247721863,0.15927828193096813,0.009892461995851988,0.008678860258777631,0.007326772151106591,0.3017955895348621,0.27038418840895606,0.12592647969135412,0.029979958903004738,0.031180399423582035,0.02691264243081931,0.6847169389125084,0.07247649439934892,0.46070460704607047,,,,ok,
GHL_id_17,34713,19,125,0.01390159403604417,0.014721510468775775,0.011586337507346615,0.3367072377221342,0.36633775780101163,0.15003061286116498,0.012212781477841035,0.012840821689203127,0.009407201603157984,0.30258481027920064,0.3426698602333406,0.11223475465401128,0.041323032696070246,0.04843249258963598,0.035199056904978265,0.35933993399339936,0.07129266927811975,0.03519940270061842,,,,ok,
GHL_id_18,34713,19,125,0.019655937201857564,0.017235933398687814,0.016989742053458746,0.28652409984880556,0.22581460419360175,0.15611631359729877,0.01819237193443457,0.01625017508176351,0.014888242139559433,0.26259600351412626,0.20387655009691308,0.1293550212096014,0.059578139206322316,0.05802344422490111,0.053991466837913706,0.6104207543056464,0.3076737451737452,0.4127662710989902,,,,ok,
GHL_id_20,34713,19,125,0.0037256647609799714,0.0038428607296776343,0.004710554179662117,0.2481503034141853,0.27887367923496853,0.17139716659099524,0.0034683475638688246,0.003596913041519376,0.0031877466957122135,0.21709412819880305,0.25374468853743587,0.13891796406925155,0.012015848568993355,0.012185455707656263,0.011839378109576377,0.040287526427061314,0.06901547198238396,0.04030320462928497,,,,ok,
